PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312,0,Health Food Store,Trail,Pub,Wings Joint,Dessert Shop,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant
M4K,East Toronto,"The Danforth West,Riverdale",43.6795571,-79.352188,2,Greek Restaurant,Coffee Shop,Ice Cream Shop,Italian Restaurant,Restaurant,Bookstore,Furniture / Home Store,Fruit & Vegetable Store,Indian Restaurant,Juice Bar
M4L,East Toronto,"The Beaches West,India Bazaar",43.6689985,-79.31557159999998,2,Park,Pizza Place,Pet Store,Movie Theater,Sushi Restaurant,Italian Restaurant,Fish & Chips Shop,Ice Cream Shop,Fast Food Restaurant,Pub
M4M,East Toronto,Studio District,43.6595255,-79.340923,2,Café,Coffee Shop,Bakery,Italian Restaurant,American Restaurant,Bookstore,Convenience Store,Latin American Restaurant,Fish Market,Sandwich Place
M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,3,Park,Swim School,Bus Line,Wings Joint,Dessert Shop,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Donut Shop
M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,2,Asian Restaurant,Park,Gym,Sandwich Place,Breakfast Spot,Clothing Store,Food & Drink Shop,Hotel,Doner Restaurant,Discount Store
M4R,Central Toronto,North Toronto West,43.7153834,-79.40567840000001,2,Clothing Store,Coffee Shop,Sporting Goods Shop,Shoe Store,Burger Joint,Salon / Barbershop,Restaurant,Rental Car Location,Chinese Restaurant,Yoga Studio
M4S,Central Toronto,Davisville,43.7043244,-79.3887901,2,Dessert Shop,Sandwich Place,Café,Gym,Coffee Shop,Sushi Restaurant,Thai Restaurant,Italian Restaurant,Pizza Place,Fried Chicken Joint
M4T,Central Toronto,"Moore Park,Summerhill East",43.6895743,-79.38315990000001,2,Intersection,Playground,Restaurant,Tennis Court,Wings Joint,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Donut Shop,Doner Restaurant
M4V,Central Toronto,"Deer Park,Forest Hill SE,Rathnelly,South Hill,Summerhill West",43.68641229999999,-79.4000493,0,Coffee Shop,Pub,Light Rail Station,American Restaurant,Supermarket,Sushi Restaurant,Liquor Store,Sports Bar,Fried Chicken Joint,Restaurant
M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001,1,Park,Playground,Trail,Wings Joint,Department Store,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Donut Shop
M4X,Downtown Toronto,"Cabbagetown,St. James Town",43.667967,-79.3676753,2,Coffee Shop,Restaurant,Market,Café,Bakery,Pub,Chinese Restaurant,Pizza Place,Park,Italian Restaurant
M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,2,Coffee Shop,Japanese Restaurant,Sushi Restaurant,Gay Bar,Restaurant,Mediterranean Restaurant,Gym,Hotel,Café,Gastropub
M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359,2,Coffee Shop,Pub,Bakery,Park,Breakfast Spot,Mexican Restaurant,Theater,Café,Restaurant,Shoe Store
M5B,Downtown Toronto,"Ryerson,Garden District",43.6571618,-79.37893709999999,2,Coffee Shop,Clothing Store,Café,Cosmetics Shop,Fast Food Restaurant,Middle Eastern Restaurant,Bakery,Pizza Place,Bubble Tea Shop,Bookstore
M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179,2,Café,Restaurant,Coffee Shop,Hotel,Clothing Store,Italian Restaurant,Beer Bar,Cosmetics Shop,Bakery,Diner
M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064,2,Coffee Shop,Bakery,Cheese Shop,Beer Bar,Farmers Market,Cocktail Bar,Steakhouse,Seafood Restaurant,Café,Park
M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826,2,Coffee Shop,Italian Restaurant,Sandwich Place,Burger Joint,Café,Ice Cream Shop,Salad Place,Bubble Tea Shop,Spa,Bar
M5H,Downtown Toronto,"Adelaide,King,Richmond",43.65057120000001,-79.3845675,2,Coffee Shop,Café,Bar,Steakhouse,Thai Restaurant,Burger Joint,Bakery,Cosmetics Shop,Restaurant,Sushi Restaurant
M5J,Downtown Toronto,"Harbourfront East,Toronto Islands,Union Station",43.6408157,-79.38175229999999,2,Coffee Shop,Hotel,Aquarium,Café,Fried Chicken Joint,Italian Restaurant,Restaurant,Brewery,Scenic Lookout,Music Venue
M5K,Downtown Toronto,"Design Exchange,Toronto Dominion Centre",43.6471768,-79.38157640000001,2,Coffee Shop,Café,Hotel,Bar,Restaurant,American Restaurant,Seafood Restaurant,Steakhouse,Deli / Bodega,Gastropub
M5L,Downtown Toronto,"Commerce Court,Victoria Hotel",43.6481985,-79.37981690000001,2,Coffee Shop,Café,Hotel,American Restaurant,Restaurant,Steakhouse,Bakery,Seafood Restaurant,Deli / Bodega,Gym
M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999,4,Garden,Wings Joint,Dessert Shop,Event Space,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant,Donut Shop,Doner Restaurant
M5P,Central Toronto,"Forest Hill North,Forest Hill West",43.6969476,-79.41130720000001,1,Park,Trail,Jewelry Store,Sushi Restaurant,Wings Joint,Dessert Shop,Ethiopian Restaurant,Electronics Store,Eastern European Restaurant,Dumpling Restaurant
M5R,Central Toronto,"The Annex,North Midtown,Yorkville",43.6727097,-79.40567840000001,2,Sandwich Place,Café,Coffee Shop,American Restaurant,Burger Joint,Indian Restaurant,BBQ Joint,Pub,History Museum,Liquor Store
M5S,Downtown Toronto,"Harbord,University of Toronto",43.6626956,-79.4000493,2,Café,Restaurant,Italian Restaurant,Japanese Restaurant,Bookstore,Sandwich Place,Theater,Bakery,Bar,Dessert Shop
M5T,Downtown Toronto,"Chinatown,Grange Park,Kensington Market",43.6532057,-79.4000493,2,Café,Bar,Chinese Restaurant,Dumpling Restaurant,Mexican Restaurant,Coffee Shop,Vietnamese Restaurant,Bakery,Park,Dessert Shop
M5V,Downtown Toronto,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",43.6289467,-79.3944199,2,Airport Service,Airport Lounge,Harbor / Marina,Bar,Coffee Shop,Rental Car Location,Sculpture Garden,Boutique,Boat or Ferry,Airport Food Court
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.37484599999999,2,Coffee Shop,Restaurant,Café,Seafood Restaurant,Hotel,Beer Bar,Bakery,Italian Restaurant,Japanese Restaurant,Art Gallery
M5X,Downtown Toronto,"First Canadian Place,Underground city",43.6484292,-79.3822802,2,Coffee Shop,Café,Hotel,Steakhouse,Restaurant,American Restaurant,Seafood Restaurant,Asian Restaurant,Deli / Bodega,Gastropub
M6G,Downtown Toronto,Christie,43.669542,-79.4225637,2,Grocery Store,Café,Park,Nightclub,Diner,Bank,Italian Restaurant,Baby Store,Restaurant,Candy Store
M6H,West Toronto,"Dovercourt Village,Dufferin",43.66900510000001,-79.4422593,2,Pharmacy,Bakery,Supermarket,Café,Bank,Bar,Music Venue,Middle Eastern Restaurant,Park,Brewery
M6J,West Toronto,"Little Portugal,Trinity",43.647926700000006,-79.4197497,2,Bar,Coffee Shop,Restaurant,Asian Restaurant,Men's Store,Bakery,Vietnamese Restaurant,New American Restaurant,Café,Pizza Place
M6K,West Toronto,"Brockton,Exhibition Place,Parkdale Village",43.6368472,-79.42819140000002,2,Breakfast Spot,Café,Coffee Shop,Pet Store,Sandwich Place,Bar,Stadium,Bakery,Intersection,Furniture / Home Store
M6P,West Toronto,"High Park,The Junction South",43.6616083,-79.46476329999999,2,Discount Store,Café,Mexican Restaurant,Thai Restaurant,Bar,Grocery Store,Fried Chicken Joint,Music Venue,Diner,Cajun / Creole Restaurant
M6R,West Toronto,"Parkdale,Roncesvalles",43.6489597,-79.456325,2,Gift Shop,Bank,Dessert Shop,Italian Restaurant,Breakfast Spot,Bar,Coffee Shop,Bookstore,Cuban Restaurant,Eastern European Restaurant
M6S,West Toronto,"Runnymede,Swansea",43.6515706,-79.4844499,2,Coffee Shop,Café,Restaurant,Pizza Place,Italian Restaurant,Sushi Restaurant,Falafel Restaurant,Diner,Food,Latin American Restaurant
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558,2,Light Rail Station,Park,Auto Workshop,Brewery,Spa,Farmers Market,Fast Food Restaurant,Burrito Place,Restaurant,Skate Park
